SBD,Toan,Van,Ly,Sinh,Ngoai ngu,Year,Hoa,Lich su,Dia ly,GDCD,MaTinh
8002816,7.8,8.25,7.5,7,6.2,2017,,,,,8
8005707,3,3.25,2.75,3,3.2,2017,,,,,8
8004883,6,5.25,,,4.8,2017,,,,,8
8004786,2.4,3.75,,,,2017,,,,,8
8004225,4.2,4,,,3,2017,,,,,8
8001882,3.2,5.75,,,3.8,2017,,,,,8
8003558,4.6,6,,,,2017,,,,,8
8004936,4,5.75,,,2.8,2017,,,,,8
8001749,1.4,3.5,,,,2017,,,,,8
8000321,4.2,6.75,4.75,4.5,4,2017,,,,,8
8002007,6,6.25,,,3.8,2017,,,,,8
8004580,2.6,5,,,2.8,2017,,,,,8
8004606,1.8,3.5,,,2.4,2017,,,,,8
8004354,4.8,6.25,,,3.4,2017,,,,,8
8002236,3.4,5.25,,,3.4,2017,,,,,8
8003514,5.8,5.25,6.5,6.25,6.4,2017,,,,,8
8004288,3.2,4.75,,,3.4,2017,,,,,8
8002996,8,7.5,7.5,3.75,5,2017,,,,,8
8001343,5,6.75,4.5,6,5.2,2017,,,,,8
8001461,4,5.25,,,3.8,2017,,,,,8
8001488,4,5.5,,,3.4,2017,,,,,8
8001573,3.8,4.5,3.75,5,3.4,2017,,,,,8
8000175,3.4,5.25,,,3.6,2017,,,,,8
8003453,3.6,4,4.75,4,2.6,2017,,,,,8
8002461,9.2,4.5,8.75,3,4.2,2017,,,,,8
8002882,8.6,6,4,9.25,5,2017,,,,,8
8004149,3.8,5.25,,,,2017,,,,,8
8004377,5.8,6.75,,,2.8,2017,,,,,8
8003853,2.6,4.75,,,,2017,,,,,8
8001379,6,4.75,,,4.2,2017,,,,,8
8004862,3.2,5.75,,,3,2017,,,,,8
8003263,4.8,4.75,4.5,4.5,4,2017,,,,,8
8000066,3.8,3.75,,,3.8,2017,,,,,8
8003295,3.2,7.25,,,3,2017,,,,,8
8004488,2.8,3.25,2.75,1.5,3,2017,,,,,8
8001957,2.8,6,3,5.75,3.6,2017,,,,,8
8003826,6.2,5.5,,,,2017,,,,,8
8000107,4.2,6.5,,,4,2017,,,,,8
8002739,6.2,4.5,3,5.75,2.4,2017,,,,,8
8005206,3.2,4.5,,,3,2017,,,,,8
8004504,2,3,,,,2017,,,,,8
8004734,5,5.75,,,3.8,2017,,,,,8
8004490,2.2,1.75,2.25,1.75,,2017,,,,,8
8004058,6.4,4.5,,,,2017,,,,,8
8003160,8.4,5.25,6.5,3.75,3,2017,,,,,8
8003227,6.4,8,3.5,4.75,2.8,2017,,,,,8
8002643,8.2,8,,,8.8,2017,,,,,8
8003819,,7.75,,,,2017,,,,,8
8001911,4.4,6.25,4.75,4.5,4.2,2017,,,,,8
8002738,6,5.25,,,4.8,2017,,,,,8
8000848,5.4,7,,,4,2017,,,,,8
8002745,8.6,6.25,6,5.75,4.4,2017,,,,,8
8003919,5.6,,4.75,6.5,,2017,,,,,8
8000547,3.2,5,,,3.2,2017,,,,,8
8000053,3,6.25,,,2.6,2017,,,,,8
8005469,2.2,3.25,,,1.6,2017,,,,,8
8003466,5.4,4.25,,,4.2,2017,,,,,8
8005555,3.4,3.5,,,2,2017,,,,,8
8003982,6,8.25,,,,2017,,,,,8
8000679,5,6.25,,,4.2,2017,,,,,8
8003996,,4.75,,,,2017,,,,,8
8004535,2.6,5,,,3.2,2017,,,,,8
8002765,8.8,8,,,8,2017,,,,,8
8004187,2.4,4.75,,,3.6,2017,,,,,8
8001171,6.4,7.25,,,7.6,2017,,,,,8
8002213,4,6.75,,,7.2,2017,,,,,8
8005641,4.6,3.5,,,3.2,2017,,,,,8
8002925,7.8,5.5,5.75,4.75,4,2017,,,,,8
8000159,4,5,,,3.8,2017,,,,,8
8000866,3.2,3.75,,,3.6,2017,,,,,8
8002715,8.2,8,,,,2017,,,,,8
8000337,4.2,4.5,2.75,3.5,2.6,2017,,,,,8
8000851,8.4,6.75,2.5,8.25,2.6,2017,,,,,8
8004462,2.8,2.75,2.75,3.25,,2017,,,,,8
8000457,3.8,3.75,,,2.2,2017,,,,,8
8000989,3,4.25,,,2,2017,,,,,8
8001280,1.2,3.75,,,,2017,,,,,8
8002466,6.6,7.5,,,4.2,2017,,,,,8
8000598,5.4,4.75,,,,2017,,,,,8
8003380,3.2,6.25,,,2.8,2017,,,,,8
8000519,3.4,4.5,,,1.4,2017,,,,,8
8003635,4.6,3.75,,,,2017,,,,,8
8000978,3.2,5,,,3.2,2017,,,,,8
8005605,7.6,8,,,9,2017,,,,,8
8005827,2,3.75,,,2.2,2017,,,,,8
8000956,3,5.75,,,4,2017,,,,,8
8003134,8.6,6,8,5.25,9.2,2017,,,,,8
8004041,8.2,,6.25,,,2017,,,,,8
8001386,3.4,4,,,3.6,2017,,,,,8
8003321,4.4,5.75,,,6.6,2017,,,,,8
8002809,7.4,6,6.5,4.75,3.4,2017,,,,,8
8000993,4.2,6.75,,,3.2,2017,,,,,8
8004759,4.4,5.25,6,4.5,2.8,2017,,,,,8
8005269,4.8,6,,,3.2,2017,,,,,8
8005465,5.6,6.25,,,2.8,2017,,,,,8
8001114,4.6,5.5,,,3.8,2017,,,,,8
8004858,4.4,5.75,,,3.2,2017,,,,,8
8000653,3,4.5,,,,2017,,,,,8
8003985,2,5,,,,2017,,,,,8
